Raw value,Corresponding cumulative value,Corresponding Cloglog value,Fractional area,Training omission,Test omission
2.52882E-7,0.000025288,0.001520555,1,0,0
3.46477E-7,0.000059936,0.002082749,0.999865772,0,0
4.03961E-7,0.000100332,0.002427876,0.999731544,0,0
1.55206E-6,0.000385702,0.009296036,0.999328859,0,0
1.69756E-6,0.000555457,0.010163019,0.999194631,0,0
3.02514E-6,0.001110241,0.01803902,0.998926174,0,0
5.59979E-6,0.002590077,0.033135224,0.99852349,0,0
8.50479E-6,0.005380838,0.049889893,0.997986577,0,0
1.07195E-5,0.010441732,0.062468154,0.997315436,0,0
1.24596E-5,0.025367262,0.072233933,0.99557047,0,0
1.49592E-5,0.051250216,0.086084171,0.993020134,0,0
1.74345E-5,0.100946659,0.099596096,0.988993289,0,0
2.01581E-5,0.201490242,0.114232554,0.981879195,0,0
2.18654E-5,0.30043607,0.123285945,0.97557047,0,0
2.29264E-5,0.401353617,0.128865663,0.969530201,0,0
2.43449E-5,0.500667388,0.136269889,0.963892617,0,0
2.46881E-5,0.600964142,0.13805206,0.958389262,0,0
2.54011E-5,0.701864187,0.141741917,0.953020134,0,0
2.60956E-5,0.750946543,0.145321298,0.950469799,0,0
2.62343E-5,0.800663465,0.146034298,0.947919463,0,0
2.70348E-5,0.902686037,0.150138168,0.942818792,0,0
2.79295E-5,1.001654785,0.154701424,0.937986577,0,0
2.86511E-5,1.100337365,0.158364031,0.933288591,0,0
2.89819E-5,1.20422617,0.160037358,0.928456376,0,0
2.97399E-5,1.307560188,0.163859856,0.923758389,0,0
2.99673E-5,1.400097089,0.16500356,0.919597315,0,0
3.05901E-5,1.502793334,0.168126739,0.915033557,0,0
3.19028E-5,1.752562816,0.174672359,0.904295302,0,0
3.31368E-5,2.002789901,0.180777896,0.893959732,0,0
3.49412E-5,2.252188493,0.189625061,0.884161074,0,0
3.60746E-5,2.500132091,0.195133213,0.874765101,0,0
3.7293E-5,2.753364131,0.201012371,0.865503356,0,0
3.85024E-5,3.000441786,0.206806211,0.856778523,0,0
3.98811E-5,3.25169956,0.213359539,0.848187919,0,0
4.10397E-5,3.503147518,0.218824611,0.839865772,0,0
4.21853E-5,3.757179209,0.224191393,0.831677852,0,0
4.34463E-5,4.001214573,0.230055938,0.824026846,0,0
4.48083E-5,4.253133971,0.236340293,0.816375839,0,0
4.62968E-5,4.504017346,0.243150156,0.808993289,0,0
4.76049E-5,4.753808609,0.249084076,0.801879195,0,0
4.90997E-5,5.000210749,0.255808259,0.795033557,0,0
5.0398E-5,5.254541525,0.261599557,0.788187919,0,0
5.1512E-5,5.504157107,0.266532858,0.781610738,0,0
5.26096E-5,5.753494452,0.271361256,0.775167785,0,0
5.35135E-5,6.00327153,0.275313819,0.76885906,0,0
5.4587E-5,6.251870274,0.279980145,0.762684564,0,0
5.57752E-5,6.505686101,0.285109921,0.756510067,0,0
5.6705E-5,6.753433938,0.289098393,0.750604027,0,0
5.80887E-5,7.000474855,0.29499331,0.744832215,0,0
5.97053E-5,7.253459872,0.301818234,0.739060403,0,0
6.08753E-5,7.500251191,0.306716459,0.733557047,0,0
6.25177E-5,7.752836724,0.313534567,0.728053691,0,0
6.39221E-5,8.005996384,0.31931109,0.722684564,0,0
6.5018E-5,8.251336995,0.323785408,0.717583893,0,0
6.65175E-5,8.501021033,0.329859583,0.712483221,0,0
6.78902E-5,8.756004388,0.335372308,0.70738255,0,0
6.89708E-5,9.009301154,0.339679922,0.702416107,0,0
7.00255E-5,9.252672041,0.343857338,0.697718121,0,0
7.09711E-5,9.506684605,0.347580452,0.692885906,0,0
7.19184E-5,9.756831346,0.351288999,0.688187919,0,0
7.26343E-5,10.002731425,0.354077368,0.683624161,0,0
7.40406E-5,10.252223951,0.359520399,0.679060403,0,0
7.52142E-5,10.506253905,0.364027516,0.674496644,0,0
7.63819E-5,10.756996614,0.368480595,0.670067114,0,0
7.78532E-5,11.003417674,0.374047341,0.665771812,0,0
7.88458E-5,11.25397242,0.377774706,0.66147651,0,0
7.99685E-5,11.500031104,0.381964137,0.657315436,0,0
8.11122E-5,11.757734048,0.386203221,0.653020134,0,0
8.21661E-5,12.002944268,0.39008331,0.648993289,0,0
8.32275E-5,12.250761442,0.393966554,0.644966443,0,0
8.40253E-5,12.501809178,0.396869102,0.640939597,0,0
8.51879E-5,12.755730084,0.401073658,0.636912752,0,0
8.64481E-5,13.005077122,0.405598185,0.633020134,0,0
8.74782E-5,13.256894869,0.409271357,0.629127517,0,0
8.84544E-5,13.503307983,0.412731147,0.625369128,0,0
8.92921E-5,13.751970659,0.415684101,0.621610738,0,0
9.04574E-5,14.003561749,0.419767045,0.617852349,0,0
9.12082E-5,14.257743844,0.422382764,0.61409396,0,0
9.22506E-5,14.505600966,0.425994521,0.610469799,0,0
9.32487E-5,14.756182306,0.429431791,0.606845638,0,0
9.49444E-5,15.00113228,0.435224249,0.603355705,0,0
9.56555E-5,15.258507689,0.437635717,0.599731544,0,0
9.71352E-5,15.509234069,0.442620714,0.596241611,0,0
