Predictor variable,Categorical,Sample average
CHELSA_bio13_1981-2010_V.2.1,false,275.92643685176455
CHELSA_bio14_1981-2010_V.2.1,false,48.39195376977153
CHELSA_bio4_1981-2010_V.2.1,false,815.0965527063129
CHELSA_bio5_1981-2010_V.2.1,false,31.787931266872363
CHELSA_bio9_1981-2010_V.2.1,false,11.351149415019256
CHELSA_cmi_range_1981-2010_V.2.1,false,185.279311169153
CHELSA_gsl_1981-2010_V.2.1,false,354.2183908045977
CHELSA_hurs_range_1981-2010_V.2.1,false,6.8244827588399275
wc2.1_30s_elev,false,36.41379310344828
